"Name","G","PA","AB","R","H","2B","3B","HR","RBI","SB","CS","BB","SO","TB","GDP","HBP","SH","SF","IBB","Age","Allstar_batter"
"AJ Pollock",138,527,489,61,120,26,1,14,56,3,1,32,98,190,13,2,0,4,0,34,"0"
"Aaron Bummer",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,"0"
"Aaron Hicks",130,453,384,54,83,9,2,8,40,10,3,62,109,120,10,4,1,2,3,32,"0"
"Aaron Judge",157,696,570,133,177,28,0,62,131,16,3,111,175,391,14,6,0,5,19,30,"1"
"Aaron Whitefield",5,11,11,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,25,"0"
"Abraham Almonte",15,37,35,7,9,2,0,1,2,1,0,1,12,14,1,1,0,0,0,33,"0"
"Abraham Toro",109,352,324,36,60,13,1,10,35,2,0,22,65,105,4,2,0,4,1,25,"0"
"Adalberto Mondes",15,54,50,3,7,0,0,0,3,5,0,4,20,7,2,0,0,0,0,26,"0"
"Adam Duvall",86,315,287,39,61,16,1,12,36,0,2,21,101,115,2,5,0,2,0,33,"0"
"Adam Engel",119,260,245,32,55,13,1,2,17,12,4,11,76,76,2,4,0,0,1,30,"0"
"Adam Frazier",156,602,541,61,129,22,4,3,42,11,6,46,73,168,15,5,4,6,1,30,"0"
"Adam Haseley",14,25,21,4,5,0,0,0,2,0,0,3,7,5,0,0,1,0,0,26,"0"
"Adley Rutschman",113,470,398,70,101,35,1,13,42,4,0,65,86,177,4,4,0,3,0,24,"1"
"Adolis Garc a",156,657,605,88,151,34,5,27,101,25,6,40,183,276,9,6,0,6,2,29,"1"
"Adonis Medina",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,"0"
"Akil Baddoo",73,225,201,30,41,3,2,2,9,9,6,24,64,54,2,0,0,0,0,23,"0"
"Alan Trejo",35,125,118,15,32,6,0,4,17,1,2,5,31,50,3,2,0,0,0,26,"0"
"Albert Abreu",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,"0"
"Albert Almora",64,235,215,26,48,10,1,5,29,3,2,17,46,75,9,1,1,1,0,28,"0"
"Albert Pujols",109,351,307,42,83,14,0,24,68,1,2,28,55,169,13,10,0,6,1,42,"0"
"Alcides Escobar",40,131,124,12,27,4,2,0,8,1,1,5,32,35,1,2,0,0,0,35,"0"
"Alec Bohm",152,631,586,79,164,24,3,13,72,2,3,31,110,233,18,4,0,10,1,25,"0"
"Alec Burleson",16,53,48,4,9,1,0,1,3,1,0,5,9,13,1,0,0,0,0,23,"0"
"Alec Mills",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,"0"
"Aledmys D az",92,327,305,35,74,13,0,12,38,1,1,18,53,123,7,2,0,2,0,31,"0"
"Alejandro Kirk",139,541,470,59,134,19,0,14,63,0,0,63,58,195,11,4,0,4,2,23,"0"
"Alejo Lopez",59,156,145,15,38,5,1,1,10,3,1,9,21,48,1,2,0,0,1,26,"0"
"Alek Thomas",113,411,381,45,88,17,1,8,39,4,3,22,74,131,6,3,0,5,0,22,"0"
"Alex Bregman",155,656,548,93,142,38,0,23,93,1,2,87,77,249,18,11,0,10,1,28,"0"
"Alex Call",94,262,228,36,54,6,2,10,26,6,6,30,60,94,4,4,0,0,0,27,"0"
"Alex Colom",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,"0"
"Alex Dickerson",13,36,33,3,4,0,0,1,2,0,0,3,9,7,3,0,0,0,0,32,"0"
"Alex Jackson",5,12,12,0,3,0,0,0,0,0,0,0,7,3,0,0,0,0,0,26,"0"
"Alex Kirilloff",45,156,144,14,36,7,0,3,21,0,0,5,36,52,5,4,0,2,0,24,"0"
"Alex Verdugo",152,644,593,75,166,39,1,11,74,1,3,42,86,240,14,3,0,6,2,26,"0"
"Alfonso Rivas",101,287,251,27,59,5,2,3,25,6,1,29,87,77,1,4,1,2,1,25,"0"
"Amed Rosario",153,670,637,86,180,26,9,11,71,18,4,25,111,257,19,4,0,4,0,26,"0"
"Anderson Severino",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,"0"
"Andr s Gim nez",146,557,491,66,146,26,3,17,69,20,3,34,112,229,9,25,4,3,4,23,"0"
"Andrelton Simmons",34,85,75,8,13,1,0,0,7,4,0,7,13,14,5,0,3,0,0,32,"0"
"Andrew Bellatti",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,"0"
"Andrew Benintendi",252,1042,922,108,280,46,6,10,102,16,6,104,154,368,14,4,2,10,0,27,"0"
"Andrew Knapp",46,134,113,12,15,3,0,0,12,0,0,15,33,18,0,3,0,3,0,30,"0"
"Andrew Knizner",96,293,260,28,56,10,0,4,25,0,1,26,62,78,9,6,1,0,0,27,"0"
"Andrew McCutchen",134,580,515,66,122,25,0,17,69,8,6,57,124,198,10,4,0,4,1,35,"0"
"Andrew Nardi",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,"0"
"Andrew Vaughn",134,555,510,60,138,28,1,17,76,0,0,31,96,219,13,9,0,5,0,24,"0"
"Andrew Velazquez",125,349,322,37,63,8,0,9,28,17,1,15,119,98,3,3,6,3,0,27,"0"
"Andy Ib  ez",40,128,119,13,26,4,0,1,9,3,0,9,21,33,0,0,0,0,0,29,"0"
"Anthony Alford",2,4,4,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,27,"0"
"Anthony Bass",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,"0"
"Anthony Bemboom",22,59,52,4,6,2,0,1,1,0,0,6,17,11,1,0,1,0,0,32,"0"
"Anthony Rendon",47,193,166,15,38,10,0,5,24,2,0,23,35,63,7,2,0,2,0,32,"0"
"Anthony Rizzo",130,548,465,77,104,21,1,32,75,6,5,58,101,223,13,23,0,2,6,32,"0"
"Anthony Santander",152,647,574,78,138,24,0,33,89,0,2,55,122,261,14,13,0,5,1,27,"0"
"Aramis Garcia",47,115,108,6,23,2,0,1,4,0,1,3,34,28,4,2,2,0,0,29,"0"
"Aristides Aquino",80,276,259,24,51,13,0,10,30,2,3,17,101,94,1,0,0,0,0,28,"0"
"Austin Allen",5,16,14,1,1,0,0,0,0,0,0,1,9,1,1,1,0,0,0,28,"0"
"Austin Barnes",62,212,179,31,38,6,0,8,26,2,1,27,37,68,5,3,2,1,0,32,"0"
"Austin Dean",3,9,8,1,3,0,0,0,0,0,0,1,0,3,0,0,0,0,0,28,"0"
"Austin Hays",145,582,535,66,134,35,2,16,60,2,4,34,114,221,11,10,0,3,0,26,"1"
"Austin Hedges",105,338,294,26,48,4,0,7,30,2,0,25,78,73,12,6,10,3,0,29,"0"
